Crew Name,Spacecraft (Launch),Spacecraft (Return),Changed craft,Duration (days),Launch date,Return date,Destination,Space Station,Mission Result
Yuri Gagarin,Vostok 1,Vostok 1,FALSE,0.07,21-04-1961,21-04-1961,Earth Orbit,None visited,Returned
Alan Shepard,Mercury-Redstone 3,Mercury-Redstone 3,FALSE,0.01,05-05-1961,05-05-1961,Non-orbital space,None visited,Returned
Virgil Grissom,Mercury-Redstone 4,Mercury-Redstone 4,FALSE,0.01,21-07-1961,21-07-1961,Non-orbital space,None visited,Returned
Gherman Titov,Vostok 2,Vostok 2,FALSE,1.05,06-08-1961,07-08-1961,Earth Orbit,None visited,Returned
John Glenn,Mercury-Atlas 6,Mercury-Atlas 6,FALSE,0.21,20-02-1962,20-02-1962,Earth Orbit,None visited,Returned
Scott Carpenter,Mercury-Atlas 7,Mercury-Atlas 7,FALSE,0.21,24-05-1962,24-05-1962,Earth Orbit,None visited,Returned
Andriyan Nikolayev,Vostok 3,Vostok 3,FALSE,3.94,11-08-1962,15-08-1962,Earth Orbit,None visited,Returned
Pavel Popovich,Vostok 4,Vostok 4,FALSE,2.96,12-08-1962,15-08-1962,Earth Orbit,None visited,Returned
Wally Schirra,Mercury-Atlas 8,Mercury-Atlas 8,FALSE,0.38,03-10-1962,03-10-1962,Earth Orbit,None visited,Returned
Gordon Cooper,Mercury-Atlas 9,Mercury-Atlas 9,FALSE,1.43,15-05-1963,16-05-1963,Earth Orbit,None visited,Returned
Valery Bykovsky,Vostok 5,Vostok 5,FALSE,4.96,14-06-1963,19-06-1963,Earth Orbit,None visited,Returned
Valentina Tereshkova,Vostok 6,Vostok 6,FALSE,2.95,16-06-1963,19-06-1963,Earth Orbit,None visited,Returned
Joseph A. Walker,"X-15, Flight 90","X-15, Flight 90",FALSE,0.01,19-07-1963,19-07-1963,Non-orbital space,None visited,Returned
Joseph A. Walker,"X-15, Flight 91","X-15, Flight 91",FALSE,0.01,22-08-1963,22-08-1963,Non-orbital space,None visited,Returned
Boris Yegorov,Voskhod 1,Voskhod 1,FALSE,1.01,12-10-1964,13-10-1964,Earth Orbit,None visited,Returned
Konstantin Feoktistov,Voskhod 1,Voskhod 1,FALSE,1.01,12-10-1964,13-10-1964,Earth Orbit,None visited,Returned
Vladimir Komarov,Voskhod 1,Voskhod 1,FALSE,1.01,12-10-1964,13-10-1964,Earth Orbit,None visited,Returned
Alexei Leonov,Voskhod 2,Voskhod 2,FALSE,1.08,18-03-1965,19-03-1965,Earth Orbit,None visited,Returned
