Name,Gender,Country,Continent,Birthday
Abdul Ahad Mohmand,Male,Afghanistan,Asia,01-01-1959
Akihiko Hoshide,Male,Japan,Asia,28-12-1968
Alan Bean,Male,United States,North America,15-03-1932
Alan G. Poindexter,Male,United States,North America,05-11-1961
Alan Shepard,Male,United States,North America,18-11-1923
Albert Sacco,Male,United States,North America,03-05-1949
Aleksandr Balandin,Male,Russia,Europe,30-07-1953
Aleksandr Ivanchenkov,Male,Russia,Europe,28-09-1940
Aleksandr Laveykin,Male,Russia,Europe,21-04-1951
Aleksandr Lazutkin,Male,Russia,Europe,30-10-1957
Aleksandr Panayotov Aleksandrov,Male,Bulgaria,Europe,01-12-1951
Aleksandr Pavlovich Aleksandrov,Male,Russia,Europe,20-02-1943
Aleksandr Poleshchuk,Male,Russia,Europe,30-10-1953
Aleksandr Samokutyayev,Male,Russia,Europe,13-03-1970
Aleksandr Serebrov,Male,Russia,Europe,15-02-1944
Aleksandr Skvortsov,Male,Russia,Europe,28-08-1954
Aleksandr Viktorenko,Male,Russia,Europe,29-03-1947
Aleksandr Volkov,Male,Russia,Europe,27-05-1948
Aleksei Gubarev,Male,Russia,Europe,29-03-1931
Aleksei Yeliseyev,Male,Russia,Europe,13-07-1934
Aleksey Ovchinin,Male,Russia,Europe,28-09-1971
Alexander Gerst,Male,Germany,Europe,03-05-1976
Alexander Misurkin,Male,Russia,Europe,23-09-1977
Alexei Leonov,Male,Russia,Europe,30-05-1934
Alexsandr Kaleri,Male,Russia,Europe,13-05-1956
Alfred Worden,Male,United States,North America,07-02-1932
Anatoli Berezovoy,Male,Russia,Europe,11-04-1942
Anatoli Ivanishin,Male,Russia,Europe,15-01-1969
Anatoli Levchenko,Male,Russia,Europe,05-05-1941
Anatoly Artsebarsky,Male,Russia,Europe,09-09-1956
Anatoly Filipchenko,Male,Russia,Europe,26-02-1928
Anatoly Solovyev,Male,Russia,Europe,16-01-1948
André Kuipers,Male,Netherlands,Europe,05-10-1958
Andreas Mogensen,Male,Denmark,Europe,02-11-1976
Andrei Borisenko,Male,Russia,Europe,17-04-1964
Andrew J. Feustel,Male,United States,North America,25-08-1965
Andrew M. Allen,Male,United States,North America,04-08-1955
Andrew Morgan,Male,United States,North America,05-02-1976
Andrew Thomas,Male,Australia,Oceania,18-12-1951
Andriyan Nikolayev,Male,Russia,Europe,05-09-1929
Anna Fisher,Female,United States,North America,24-08-1949
Anne McClain,Female,United States,North America,07-06-1979
Anousheh Ansari,Female,Iran,Asia,12-09-1966
Anthony W. England,Male,United States,North America,15-05-1942
Anton Shkaplerov,Male,Russia,Europe,20-02-1972
Arnaldo Tamayo Méndez,Male,Cuba,North America,29-01-1942
Aydyn Aimbetov,Male,Kazakhstan,Asia,27-07-1972
B. Alvin Drew,Male,United States,North America,05-11-1962
Barbara Morgan,Female,United States,North America,28-11-1951
Barry Wilmore,Male,United States,North America,29-12-1962
Bernard Harris,Male,United States,North America,26-06-1956
Bertalan Farkas,Male,Hungary,Europe,02-08-1949
Bill Nelson,Male,United States,North America,29-09-1942
Bjarni Tryggvason,Male,Iceland,Europe,21-09-1945
Bonnie J. Dunbar,Female,United States,North America,03-03-1949
Boris Morukov,Male,Russia,Europe,01-10-1950
Boris Volynov,Male,Russia,Europe,18-12-1934
Boris Yegorov,Male,Russia,Europe,26-11-1937
Brent W. Jett,Male,United States,North America,05-10-1958
Brewster Shaw,Male,United States,North America,16-05-1945
Brian Binnie,Male,United States,North America,01-01-1953
Brian Duffy,Male,United States,North America,20-06-1953
Bruce McCandless II,Male,United States,North America,08-06-1937
Bruce Melnick,Male,United States,North America,05-12-1949
Bryan O'Connor,Male,United States,North America,06-09-1946
Buzz Aldrin,Male,United States,North America,20-01-1930
Byron Lichtenberg,Male,United States,North America,19-02-1948
C. Gordon Fullerton,Male,United States,North America,11-10-1936
Carl E. Walz,Male,United States,North America,06-09-1955
Carl Meade,Male,United States,North America,16-11-1950
Carlos I. Noriega,Male,United States,North America,08-10-1959
Catherine Coleman,Female,United States,North America,14-12-1960
Charles Bolden,Male,United States,North America,19-08-1946
Charles Brady,Male,United States,North America,12-08-1951
Charles Camarda,Male,United States,North America,08-05-1952
Charles Duke,Male,United States,North America,03-10-1935
Charles Gemar,Male,United States,North America,04-08-1955
Charles Hobaugh,Male,United States,North America,05-11-1961
Charles L. Veach,Male,United States,North America,18-09-1944
Charles Precourt,Male,United States,North America,29-06-1955
Charles Simonyi,Male,Hungary,Europe,10-09-1948
Charles Walker,Male,United States,North America,29-08-1948
Chen Dong,Male,China,Asia,12-12-1978
Chiaki Mukai,Female,Japan,Asia,06-05-1952
Chris Hadfield,Male,Canada,North America,29-08-1959
Christa McAuliffe,Female,United States,North America,02-09-1948
Christer Fuglesang,Male,Sweden,Europe,18-03-1957
Christina Koch,Female,United States,North America,29-01-1979
Christopher Ferguson,Male,United States,North America,01-09-1961
Christopher J. Cassidy,Male,United States,North America,04-01-1970
Claude Nicollier,Male,Switzerland,Europe,02-09-1944
Claudie Haigneré,Female,France,Europe,13-05-1957
Clayton Anderson,Male,United States,North America,23-02-1959
Curtis Brown,Male,United States,North America,11-03-1956
