Rocket,Active,Country,LEO Payload,GTO payload,TLI/Mars payload,Liftoff Height,Liftoff Mass,Successful flights,Total flights,First launch,Last launch,Class,Carried Crews
Sputnik 8K71PS,RETIRED,Russia,500,,,30,267000,2,2,04-Oct-57,03-Nov-57,SLV,FALSE
Vanguard,RETIRED,United States,11,,,21.9,10050,3,11,06-Dec-57,18-Sep-59,SLV,FALSE
Sputnik 8A91,RETIRED,Russia,"1,327",,,31.1,269300,1,2,27-Apr-58,15-May-58,SLV,FALSE
NOTS-EV-1 Pilot,RETIRED,United States,1,,,4.4,950,0,10,04-Jul-58,17-Aug-58,SLV,FALSE
Scout,RETIRED,United States,174,,,25,17850,87,99,18-Apr-60,09-May-94,SLV,FALSE
Vostok-L,RETIRED,Russia,"4,500",,,30.84,281375,3,4,15-May-60,01-Dec-60,MLV,FALSE
Atlas LV-3B,RETIRED,United States,"1,360",,,25,"1,17,730",7,9,29-Jul-60,15-May-63,SLV,TRUE
Molniya,RETIRED,Russia,"1,800",,,40,"3,03,500",20,40,10-Oct-60,22-Oct-67,SLV,FALSE
Mercury-Redstone Launch Vehicle,RETIRED,United States,,,,25.41,"30,000",5,6,21-Nov-60,21-Jul-61,---,TRUE
Vostok-K,RETIRED,Russia,"2,460",,,30.84,281375,11,13,22-Dec-60,10-Jul-64,MLV,TRUE
Atlas-Centaur,RETIRED,United States,"4,620","2,993",,33,"1,36,124",181,197,08-May-62,31-Aug-04,MLV,FALSE
Vostok-2,RETIRED,Russia,"4,730",,,30.84,281375,40,45,01-Jun-62,12-May-67,MLV,FALSE
X-15,RETIRED,United States,,,,,,2,13,17-Jul-62,21-Aug-68,---,TRUE
Polyot,RETIRED,Russia,"1,400",,,30,"2,77,000",2,2,01-Nov-63,12-Apr-64,SLV,FALSE
Voskhod,RETIRED,Russia,"6,000",,,30.84,298400,287,300,16-Nov-63,29-Jun-76,MLV,TRUE
Molniya-M,RETIRED,Russia,"2,400",,,43.44,"3,03,500",276,297,19-Feb-64,30-Sep-10,MLV,FALSE
Titan II GLV,RETIRED,United States,"7,900",,,33,340000,12,12,08-Apr-64,11-Nov-66,MLV,TRUE
Vostok-2M,RETIRED,Russia,"3,800",,,30.84,282300,92,93,28-Aug-64,29-Aug-91,MLV,FALSE
Titan IIIA,RETIRED,United States,"3,100",,,42,161730,3,4,01-Sep-64,06-May-65,MLV,FALSE
