Crew Mission Name,Name,EVA Number,Start Date,End Date,Duration,Moonwalk,Stand Up Only,Deep Space,Traveler launch date,Launching spacecraft,Destination
Voskhod 2,Alexei Leonov,1,18-Mar-65,18-Mar-65,00:12:09,FALSE,FALSE,FALSE,18-03-1965,Voskhod 2,Earth Orbit
Gemini 4,Ed White,2,03-Jun-65,03-Jun-65,00:20:00,FALSE,FALSE,FALSE,03-06-1965,Gemini 4,Earth Orbit
Gemini 9,Gene Cernan,3,05-Jun-66,05-Jun-66,02:07:00,FALSE,FALSE,FALSE,03-06-1966,Gemini 9,Earth Orbit
Gemini 10,Michael Collins,4,19-Jul-66,19-Jul-66,00:49:00,FALSE,FALSE,FALSE,18-07-1966,Gemini 10,Earth Orbit
Gemini 10,Michael Collins,5,20-Jul-66,20-Jul-66,00:39:00,FALSE,FALSE,FALSE,18-07-1966,Gemini 10,Earth Orbit
Gemini 11,Richard Gordon,6,13-Sep-66,13-Sep-66,00:33:00,FALSE,FALSE,FALSE,12-09-1966,Gemini 11,Earth Orbit
Gemini 11,Richard Gordon,7,14-Sep-66,14-Sep-66,02:08:00,FALSE,FALSE,FALSE,12-09-1966,Gemini 11,Earth Orbit
Gemini 12,Buzz Aldrin,8,12-Nov-66,12-Nov-66,02:29:00,FALSE,FALSE,FALSE,11-11-1966,Gemini 12,Earth Orbit
Gemini 12,Buzz Aldrin,9,13-Nov-66,13-Nov-66,02:06:00,FALSE,FALSE,FALSE,11-11-1966,Gemini 12,Earth Orbit
Gemini 12,Buzz Aldrin,10,14-Nov-66,14-Nov-66,00:55:00,FALSE,FALSE,FALSE,11-11-1966,Gemini 12,Earth Orbit
Soyuz 4/5,Yevgeny Khrunov,11,16-Jan-69,16-Jan-69,00:32:00,FALSE,FALSE,FALSE,15-01-1969,Soyuz 5,Earth Orbit
Soyuz 4/5,Aleksei Yeliseyev,11,16-Jan-69,16-Jan-69,00:32:00,FALSE,FALSE,FALSE,15-01-1969,Soyuz 5,Earth Orbit
Apollo 9,Rusty Schweickart,12,06-Mar-69,06-Mar-69,01:17:00,FALSE,FALSE,FALSE,03-03-1969,Apollo 9,Earth Orbit
Apollo 9,David Scott,12,06-Mar-69,06-Mar-69,01:17:00,FALSE,TRUE,FALSE,03-03-1969,Apollo 9,Earth Orbit
Apollo 11,Neil Armstrong,13,21-Jul-69,21-Jul-69,02:31:40,TRUE,FALSE,FALSE,16-07-1969,Apollo 11,Moon
Apollo 11,Buzz Aldrin,13,21-Jul-69,21-Jul-69,02:31:40,TRUE,FALSE,FALSE,16-07-1969,Apollo 11,Moon
Apollo 12,Pete Conrad,14,19-Nov-69,19-Nov-69,03:56:03,TRUE,FALSE,FALSE,14-11-1969,Apollo 12,Moon
Apollo 12,Alan Bean,14,19-Nov-69,19-Nov-69,03:56:03,TRUE,FALSE,FALSE,14-11-1969,Apollo 12,Moon
Apollo 12,Pete Conrad,15,20-Nov-69,20-Nov-69,03:49:15,TRUE,FALSE,FALSE,14-11-1969,Apollo 12,Moon
Apollo 12,Alan Bean,15,20-Nov-69,20-Nov-69,03:49:15,TRUE,FALSE,FALSE,14-11-1969,Apollo 12,Moon
Apollo 14,Alan Shepard,16,05-Feb-71,05-Feb-71,04:47:50,TRUE,FALSE,FALSE,31-01-1971,Apollo 14,Moon
Apollo 14,Edgar Mitchell,16,05-Feb-71,05-Feb-71,04:47:50,TRUE,FALSE,FALSE,31-01-1971,Apollo 14,Moon
Apollo 14,Alan Shepard,17,06-Feb-71,06-Feb-71,04:34:41,TRUE,FALSE,FALSE,31-01-1971,Apollo 14,Moon
